id,Name_eng,Name_fr,countrycode,Continent,spoken_languages
1,Afghanistan,Afghanistan,afg,AS,"64,65"
2,Angola,Angola,ago,AF,63
3,Albania,Albanie,alb,EU,78
4,Andorra,Andorre,and,EU,10
5,United Arab Emirates,Émirats arabes unis,are,AS,3
6,Argentina,Argentine,arg,SA,77
7,Armenia,Arménie,arm,AS,30
8,Antigua and Barbuda,Antigua-et-Barbuda,atg,NA,18
9,Australia,Australie,aus,OC,18
10,Austria,Autriche,aut,EU,14
11,Azerbaijan,Azerbaïdjan,aze,AS,4
12,Burundi,Burundi,bdi,AF,"24,67"
13,Belgium,Belgique,bel,EU,"24,14,58"
14,Benin,Bénin,ben,AF,24
15,Burkina Faso,Burkina Faso,bfa,AF,24
16,Bangladesh,Bangladesh,bgd,AS,6
17,Bulgaria,Bulgarie,bgr,EU,9
18,Bahrain,Bahreïn,bhr,AS,3
19,Bahamas,Bahamas,bhs,NA,18
20,Bosnia and Herzegovina,Bosnie-Herzégovine,bih,EU,"79,28,8"
21,Belarus,Biélorussie,blr,EU,"68,5"
22,Belize,Belize,blz,NA,18
23,Bolivia,Bolivie,bol,SA,77
24,Brazil,Brésil,bra,SA,63
25,Barbados,Barbade,brb,NA,18
26,Brunei Darussalam,Brunei,brn,AS,54
27,Bhutan,Bhoutan,btn,AS,16
28,Botswana,Botswana,bwa,AF,18
29,Central African Republic,République centrafricaine,caf,AF,"24,69"
30,Canada,Canada,can,NA,"18,24"
31,Switzerland,Suisse,che,EU,"14,24"
32,Chile,Chili,chl,SA,77
33,China,Chine,chn,AS,101
34,Côte d'Ivoire,Côte d'Ivoire,civ,AF,24
35,Cameroon,Cameroun,cmr,AF,"24,18"
36,Democratic Republic of the Congo,République démocratique du Congo,cod,AF,"24,44,82"
37,Republic of the Congo,République du Congo,cog,AF,"24,44"
38,Colombia,Colombie,col,SA,77
39,Comoros,Comores ,com,AF,"24,3,83"
40,Cabo Verde,Cap-Vert,cpv,AF,63
41,Costa Rica,Costa Rica,cri,NA,77
42,Cuba,Cuba,cub,NA,77
43,Cyprus,Chypre ,cyp,EU,"17,94"
44,Czechia,Tchéquie,cze,EU,12
45,Germany,Allemagne,deu,EU,14
46,Djibouti,Djibouti,dji,AF,"24,3"
47,Dominica,Dominique,dma,NA,18
48,Denmark,Danemark,dnk,EU,13
49,Dominican Republic,République dominicaine,dom,NA,77
50,Algeria,Algérie,dza,AF,"3,7"
51,Ecuador,Équateur ,ecu,SA,77
52,Egypt,Égypte,egy,AF,3
53,Eritrea,Érythrée,eri,AF,"89,3,18"
54,Spain,Espagne,esp,EU,77
55,Estonia,Estonie,est,EU,19
56,Ethiopia,Éthiopie,eth,AF,2
57,Finland,Finlande,fin,EU,"22,84"
